Postcode,Suburb,Type,Price,Distance,Rooms,Bathroom,Car,BuildingArea,Landsize,zipcode,rent_price_mean,rent_price_median,rent_price_min,rent_price_max,rent_price_count,rent_rating_mean,rent_rating_median,rent_rating_min,rent_rating_max
3067,Abbotsford,h,1035000.0,2.5,2,1.0,0.0,79.0,156.0,,,,,,,,,,
3067,Abbotsford,h,1465000.0,2.5,3,2.0,0.0,150.0,134.0,,,,,,,,,,
3067,Abbotsford,h,1600000.0,2.5,4,1.0,2.0,142.0,120.0,,,,,,,,,,
3067,Abbotsford,h,1876000.0,2.5,3,2.0,0.0,210.0,245.0,,,,,,,,,,
3067,Abbotsford,h,1636000.0,2.5,2,1.0,2.0,107.0,256.0,,,,,,,,,,
3067,Abbotsford,h,1097000.0,2.5,2,1.0,2.0,75.0,220.0,,,,,,,,,,
3067,Abbotsford,h,1350000.0,2.5,3,2.0,2.0,190.0,214.0,,,,,,,,,,
3067,Abbotsford,u,750000.0,2.5,2,2.0,1.0,94.0,0.0,,,,,,,,,,
3067,Abbotsford,h,1310000.0,2.5,2,1.0,2.0,97.0,238.0,,,,,,,,,,
3067,Abbotsford,h,1200000.0,2.5,3,2.0,1.0,110.0,113.0,,,,,,,,,,
3067,Abbotsford,h,1176500.0,2.5,3,1.0,1.0,105.0,138.0,,,,,,,,,,
3067,Abbotsford,h,890000.0,2.5,2,1.0,1.0,73.0,150.0,,,,,,,,,,
3067,Abbotsford,h,1330000.0,2.5,4,2.0,2.0,135.0,780.0,,,,,,,,,,
3067,Abbotsford,u,500000.0,2.5,2,1.0,1.0,60.0,0.0,,,,,,,,,,
3067,Abbotsford,h,1100000.0,2.5,2,2.0,1.0,135.0,124.0,,,,,,,,,,
3067,Abbotsford,h,1315000.0,2.5,2,1.0,0.0,85.0,147.0,,,,,,,,,,
3067,Abbotsford,h,1447500.0,2.5,3,3.0,1.0,174.0,166.0,,,,,,,,,,
3067,Abbotsford,u,457000.0,2.5,1,1.0,1.0,50.0,0.0,,,,,,,,,,
3067,Abbotsford,h,1135000.0,2.5,2,2.0,2.0,128.0,98.0,,,,,,,,,,
3067,Abbotsford,h,1290000.0,2.5,3,2.0,2.0,18.0,147.0,,,,,,,,,,
3067,Abbotsford,h,1290000.0,2.5,3,1.0,1.0,124.0,168.0,,,,,,,,,,
3067,Abbotsford,u,470000.0,2.5,1,1.0,1.0,50.0,0.0,,,,,,,,,,
3067,Abbotsford,h,1180000.0,2.5,2,1.0,0.0,91.0,162.0,,,,,,,,,,
3067,Abbotsford,h,1195000.0,2.5,3,2.0,1.0,128.0,120.0,,,,,,,,,,
3067,Abbotsford,h,1012500.0,2.5,2,1.0,0.0,82.0,182.0,,,,,,,,,,
3067,Abbotsford,h,1030000.0,2.5,2,1.0,1.0,81.0,172.0,,,,,,,,,,
3042,Airport West,t,840000.0,13.5,3,2.0,1.0,225.0,303.0,,,,,,,,,,
3042,Airport West,h,730000.0,13.5,3,2.0,1.0,145.0,0.0,,,,,,,,,,
3042,Airport West,h,770000.0,13.5,3,2.0,1.0,145.0,0.0,,,,,,,,,,
3042,Airport West,h,603000.0,13.5,2,1.0,1.0,84.0,272.0,,,,,,,,,,
3042,Airport West,t,700000.0,13.5,3,2.0,2.0,134.0,239.0,,,,,,,,,,
3042,Airport West,h,600000.0,13.5,3,1.0,1.0,116.0,290.0,,,,,,,,,,
3042,Airport West,u,500000.0,13.5,2,1.0,1.0,86.0,168.0,,,,,,,,,,
3042,Airport West,h,785000.0,13.5,4,1.0,2.0,127.0,597.0,,,,,,,,,,
3042,Airport West,t,450000.0,13.5,2,1.0,1.0,90.0,110.0,,,,,,,,,,
3042,Airport West,u,515000.0,13.5,2,1.0,1.0,73.0,141.0,,,,,,,,,,
3042,Airport West,u,530000.0,13.5,2,1.0,1.0,94.0,120.0,,,,,,,,,,
3042,Airport West,h,805000.0,13.5,3,1.0,1.0,105.0,0.0,,,,,,,,,,
3042,Airport West,u,752000.0,13.5,3,1.0,1.0,130.0,265.0,,,,,,,,,,
3042,Airport West,t,700000.0,13.5,3,2.0,2.0,133.0,165.0,,,,,,,,,,
3042,Airport West,h,830000.0,13.5,3,1.0,2.0,113.0,971.0,,,,,,,,,,
3042,Airport West,h,675000.0,13.5,2,1.0,1.0,100.0,612.0,,,,,,,,,,
3042,Airport West,h,773000.0,13.5,4,3.0,4.0,309.0,531.0,,,,,,,,,,
3042,Airport West,h,810000.0,13.5,3,3.0,2.0,192.0,555.0,,,,,,,,,,
3042,Airport West,h,715000.0,13.5,3,2.0,2.0,126.0,422.0,,,,,,,,,,
3042,Airport West,t,540000.0,13.5,3,2.0,1.0,101.0,161.0,,,,,,,,,,
3042,Airport West,t,825000.0,13.5,3,2.0,1.0,102.0,293.0,,,,,,,,,,
3042,Airport West,h,685000.0,13.5,3,1.0,1.0,113.0,579.0,,,,,,,,,,
3042,Airport West,u,510000.0,13.5,2,1.0,1.0,76.0,141.0,,,,,,,,,,
3042,Airport West,h,900000.0,13.5,4,2.0,3.0,146.0,628.0,,,,,,,,,,
3206,Albert Park,h,1275000.0,3.3,2,1.0,0.0,82.0,120.0,,,,,,,,,,
3206,Albert Park,h,2850000.0,3.3,3,2.0,0.0,198.0,211.0,,,,,,,,,,
3206,Albert Park,h,1850000.0,3.3,3,2.0,0.0,133.0,128.0,,,,,,,,,,
3206,Albert Park,h,1436000.0,3.3,2,1.0,0.0,81.0,130.0,,,,,,,,,,
3206,Albert Park,h,2300000.0,3.3,4,2.0,1.0,180.0,153.0,,,,,,,,,,
3206,Albert Park,h,1800000.0,3.3,3,2.0,1.0,159.0,132.0,,,,,,,,,,
3206,Albert Park,h,2120000.0,3.3,2,1.0,1.0,107.0,199.0,,,,,,,,,,
3206,Albert Park,h,1800000.0,3.3,3,2.0,1.0,122.0,90.0,,,,,,,,,,
3206,Albert Park,h,2615000.0,3.3,3,2.0,1.0,181.0,177.0,,,,,,,,,,
3206,Albert Park,h,1370000.0,3.3,3,2.0,2.0,85.0,0.0,,,,,,,,,,
3206,Albert Park,h,1322500.0,3.3,2,1.0,0.0,98.0,149.0,,,,,,,,,,
3206,Albert Park,h,1562500.0,3.3,2,1.0,0.0,83.0,141.0,,,,,,,,,,
3206,Albert Park,h,2000000.0,3.3,3,2.0,1.0,147.0,211.0,,,,,,,,,,
3206,Albert Park,h,3010000.0,3.3,3,2.0,0.0,146.0,147.0,,,,,,,,,,
3206,Albert Park,h,2800000.0,3.3,4,3.0,1.0,254.0,327.0,,,,,,,,,,
3206,Albert Park,h,2100000.0,3.3,3,1.0,1.0,123.0,120.0,,,,,,,,,,
3206,Albert Park,h,2000000.0,3.3,3,1.0,1.0,131.0,238.0,,,,,,,,,,
3206,Albert Park,u,442500.0,3.3,1,1.0,0.0,34.0,0.0,,,,,,,,,,
3206,Albert Park,h,4735000.0,3.3,4,2.0,1.0,207.0,330.0,,,,,,,,,,
3206,Albert Park,h,2140000.0,3.3,4,2.0,1.0,145.0,183.0,,,,,,,,,,
3206,Albert Park,h,980000.0,3.3,2,1.0,0.0,68.0,79.0,,,,,,,,,,
3206,Albert Park,h,1740000.0,3.3,3,2.0,2.0,134.0,147.0,,,,,,,,,,
3206,Albert Park,h,985000.0,3.3,1,1.0,0.0,54.0,81.0,,,,,,,,,,
3078,Alphington,h,2000000.0,6.4,4,2.0,4.0,263.0,853.0,,,,,,,,,,
3078,Alphington,h,1717500.0,6.4,4,2.0,1.0,203.0,599.0,,,,,,,,,,
3078,Alphington,h,2840000.0,6.4,5,4.0,4.0,165.0,809.0,,,,,,,,,,
3078,Alphington,u,525500.0,6.4,2,1.0,1.0,60.0,88.0,,,,,,,,,,
3078,Alphington,t,805000.0,6.4,2,2.0,3.0,140.0,155.0,,,,,,,,,,
3078,Alphington,h,1830000.0,6.4,4,2.0,2.0,112.0,606.0,,,,,,,,,,
3078,Alphington,h,2100000.0,6.4,4,2.0,2.0,271.0,575.0,,,,,,,,,,
3078,Alphington,h,865000.0,6.4,3,1.0,1.0,131.0,180.0,,,,,,,,,,
3078,Alphington,u,390000.0,6.4,2,1.0,1.0,60.0,0.0,,,,,,,,,,
